Player,Pass Yds,Yds/Att,Att_x,Cmp,Cmp %,TD_x,INT,Rate,1st,1st%_x,20+_x,40+_x,Lng_x,Sck,SckY,Rush Yds,Att_y,TD_y,20+_y,40+_y,Lng_y,Rush 1st,Rush 1st%,Rush FUM,Rec,Yds,TD,20+,40+,LNG,Rec 1st,1st%_y,Rec FUM,Rec YAC/R,Tgts
Rakim Jarrett,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,107,0,2,0,30,4,57.1,0,17,9
Ramel Keyton,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7,0,0,0,7,1,100,0,0,3
Rashee Rice,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,100,0,24,288,2,3,1,44,15,62.5,0,186,29
Rashid Shaheed,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,6,0,0,0,13,2,33.3,0,20,349,3,5,3,70,12,60,0,106,41
Rashod Bateman,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,574,5,7,3,59,26,74.3,0,130,55
Ray Davis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,279,69,2,1,0,22,15,21.7,0,10,149,1,2,2,63,4,40,0,122,11
Ray-Ray McCloud,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56,6,0,1,0,20,2,33.3,0,41,381,1,4,0,22,18,43.9,3,170,55
Rhamondre Stevenson,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,598,162,6,1,0,33,30,18.5,4,28,118,1,0,0,14,4,14.3,1,177,35
Ricky Pearsall,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,1,0,1,0,39,1,100,0,11,132,1,1,1,46,5,45.4,0,49,17
Rico Dowdle,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,488,112,0,0,0,19,25,22.3,2,29,184,3,1,0,22,11,37.9,0,185,37
Riley Dixon,3,3,1,1,100,0,0,79.2,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Robbie Chosen,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,0,0,0,5,0,0,0,1,4
Robert Woods,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,112,0,1,0,32,7,63.6,0,45,16
Rome Odunze,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,3,0,0,0,8,1,33.3,0,39,518,1,6,2,47,25,64.1,1,174,70
Romeo Doubs,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,483,2,7,0,39,25,73.5,0,93,53
Ronnie Bell,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,22,0,0,0,12,2,100,0,5,6
Ronnie Rivers,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51,10,0,0,0,12,5,50,0,1,0,0,0,0,0,0,0,0,7,1
Roschon Johnson,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,139,48,6,0,0,9,16,33.3,0,11,88,0,0,0,17,5,45.4,0,67,15
Ross Dwelley,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,0,0,0,5,0,0,0,4,1
Russell Wilson,1212,8.1,149,94,63.1,7,2,98.6,52,34.9,21,3,46,16,92,24,17,1,0,0,10,3,17.6,0,0,0,0,0,0,0,0,0,0,0,0
Ryan Flournoy,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,44,0,0,0,15,2,50,1,18,6
Ryan Miller,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,84,1,1,0,39,6,85.7,0,48,13
